Average fine, non-repeat offenders,210009
Average fine, repeat offenders,600000
Average prison days, non-repeat offenders,258.6
Average prison days, repeat offenders,243.7
Average community service days, non-repeat offenders,0
Average community service days, repeat offenders,0
