Average fine, non-repeat offenders,71542
Average fine, repeat offenders,257143
Average prison days, non-repeat offenders,144.9
Average prison days, repeat offenders,228.5
Average community service days, non-repeat offenders,30.5
Average community service days, repeat offenders,0
