Crime,Hunting for meat,Illegal harvesting,Illegal grazing,Illegal fishing,Illegal possesion,Illegal entry,Summary
Prosecutions,13,12,4,12,16,16,73
Succesful prosecutions (%),100,100,100,100,100,100,100
Acquittals,0,0,0,0,0,0,0
Dismissed by prosecutor,0,0,0,0,0,0,0
Dismissed by court,0,0,0,0,0,0,0
Cautions issued,1,4,1,2,0,4,12
Fines issued,8,7,2,4,13,4,38
Amount fined total,0,600000,800000,6,3,90030,1490039
Prison term verdicts,4,0,1,3,1,8,17
Prison days total,914,0,365,1095,183,0,2557
Community service verdicts,0,1,0,0,3,0,4
Community service days total,0,0,0,0,122,0,122
Other sentences,0,0,0,0,0,0,0
