rec	Station	Crime type
1046		Illegal entry into a wildlife protected area
1047		Illegal entry into a wildlife protected area
1048		Illegal entry into  a wildlife protected area
1049		Illegal entry into a wildlife protected area
1050		illegal entry into a wildlife protected area
1051		Illegal entry into a wildlife protected area
1052		Illegal entry into a wildife protected area
1053		Illegal entry into a wildlife protected arae
1054		Illegal entry into a wildlife protected area
1055		Illegal entry into a wildlife protected arae
1056		Illegal entry into a wildlife protected area
1057		Illegal entry into a wildlife protected species
1058		Illegal entry into a wildlife protected area
1059		Illegal entry into a wildlife protected area
1060		Illegal entry into a wildlife protected area
1061		Illegal entry into a wildlife protected area
1062		Illegal entry into a wildlife protected area
1063		Illegal entry into a wildlife protected Area
1064		Ilegal entry into a wildlife protected Area
1065		Illegal entry into a wildlife protected Area
1066		Illegal entry into a wildlife proteceted area
1067		Illegal entry into a wildlife protected area
1068		Illegal entry into a wildlife protected area
1069		Illegal entry into a wildlife protected area
1070		Illegal entry a wildlife protected area
1071		Illegal entry into a wildlife protected area
1072		Illegal entry into awildlife protected area
1073		Possession of illegal devices capable of killing wild animals
1074		Possession of illegal devices capable of killing wild animals
1075		Illegal entry into a wildlife protyected area
1076		Illegal entry into a wildlife protected area
1077		Illegal entry into a wildlife protected area
1078		Illegal entry into a wildlife protected area
1079		Illegal entry into a wildlife protected area
1080		Illegal entry into a wildlief protected area
1081		Illegal entry into a wildlife protected area
1082		Illegal entry into a wildlife protected area
1083		Illegal entry into a wildlife protected area
1084		Illegal entry into a wildlife protected area
1085		Negligently straying in domestic animals into a wildlife protect
1086		Negligently straying in domestic animals into a wildlife protect
1087		Illegal entry into a wildlife protected area
1088		Illegal entry into a wildlife protected area
1089		Illegal entry into a wildlife protected area
1090		Illegal entry into a wildlife protected area
1091		Illegal enty into a wildlife protected area
1092		Illegal entry into a wildlife protected area
1093		Illegal entry into a wildlife protected area
1094		Illegal entry into a wildlife protected area
1095		Possession of wildlife protected species
1096		Possession wildlife protected species
1097		Possession of wildlife protected species
1098		Possession of wildlife protected species
1099		Possession of illegal devices capable of killing and disturbing 
1100		Negligently permitting domestic animals into a wildlife protecte
1101		Illegal entry into a wildlife protected area
1102		Illegal entry into a wildlife protected area
1103		Negligently straying domestic animals into a wildlife protected 
1104		Illegal entry into a wildlife protected area
1105		Illegal entry into a wildlife protected area
1106		Illegal entry into a wildlife protected area
1107		Illegal entry into a wildlife protected area
1108		Possession of wildlife protected species
1109		Possession of wildlife protected species
1110		Possession of wildlife protected species
1111		Illegal entry into a wildlife protected area
1112		Illegal entry into a wildlife protected area
1113		Hunting of wild animals
1114		Illegal entry into a wildlife protected area
1115		Illegal entry into a wildlife protected area
1116		Illegal entry into a wildlife protected area
1117		Illegal entry into a wildlife protected area
1118		Illegal entry into a wildlife protected area
1119		Illegal entry into a wildlife protected area
1120		Illegal entry into a wildlife protected area
1121		Illegal entry into a wildlife protected area
1122		Illegal entry into a wildlife protected area
1123		Illegal entry into a wildlife protected area
1124		possession of illegal devices capable of killing and disturbing 
1125		Illegal entry into a wildlife protected area
1126		Illegal entry into a wildlife protected area
1127		Illegal entry into a wildlife protecetd area
1128		Illegal entry into a wildlife protected area
1129		
1130		Illegal entry into a wildlife protected area
1131		un lawful possession of devices
1132		un lawful entry into a wildlife protected area
1133		Un lawful entry into a wildlife protected area
1134		un lawful entry into a wildlife protected area
1135		un lawful entry into a wildlife protected area
1136		Possession of wildlife protected specimen
1137		un lawful possession of wildlife protected specimen
1138		un lawful possession of wildlife protected specimen
1139		Un lawful entry into a wildlife protected area
1140		Un law ful entry into a wildlife protected area
1141		Unlawful entry into a wildlife protected area
1142		Un lawful entry into a wildlife protected arae
1143		Un lawful entry into a wildlife protected area
1144		Un lawful entry into a wildlife protected area
1145		Un lawful entry into a wildlife protected area
1146		Unlawful entry into a wildlife protected arae
1147		Un lawful entry into a wildlife protected area
1148		illegal entry into a wildlife protected area
1149		Illegal entry into a wildlife  protected area
1150		HUNTING OF WILDANIMALS
1151		possession of devices
1152		Un law ful entry into a wildlife protected area
1153		Illegal entry int a wildlife protected area
1154		Illegal entry into a wildlife protected area
1155		Illegal entry into a wildlife preotected area
1156		ILLEGAL ENTRY INTO A WILDLIFE PROTECTED AREA
1157		Illegal entry into a wildlife protected area
1158		Illegal entry into a wildlief protected area
1159		Illegal entry into a wildlife protected area
1160		Illegal entry into a wildlife protected area
1161		Negligently permitting domestic animals into a wildlife protecte
1162		Illegal entry into a wildlife protected area
1163		Illegal entry into a wildlife prtected area
1164		Illegal entry into  a wildlife protected area
1165		Illegal entry into a wildlife protected area
1166		Illegal entry into a wildlife protected area
1167		Illegal entry into a wildlife protected area
1168		Negligently permitting domestic animals into a wildlife protecte
1169		Negligently permitting domestic animals into a wildlife protecte
1170		Illegal entry into a wildlife protected area
1171		ILLEGAL ENTRY INTO A WILDLIFE PROTECTED AREA
1172		Illegal entry into a wildlife protected area
1173		Illegel entry into a wildlife protected area
1174		Illegal entry into a wildlife protected area
1175		Illegal entry into a wildlife protected area
1176		Illegal entry into a wildlife protected area
1177		Illegal entry into a wildlife protected area
1178		Illegal entry into a wildlife protected area
1179		Illegal entry into a wildlife protected area
1180		Illegal entry intoa wildlife protected area
1181		Illegal entry into a wildlife protected area
1182		Illegal entry into a wildlife protected area
1183		illegal entry into a wildlife protected area
1184		Illegal entry into a wildlife protected area
1185		Illegal entry into a wildlife protected area
1186		illegal entry into a wildlife protected area
1187		illegal entry into a wildlife protected area
1188		illegal entry into a wildlife protected area
1189		illegal entry into a wildlife protected area
1190		illegal entry into a wildlife protected area
1191		Illegal entry into a wildlife protected area
1192		Illegal entry into a wildlife protected area
1193		Illegal entry into a wildlife protected area
1194		Illegal entry into a wildlife protected area
1195		illegal entry into a wildlife protected area
1196		hunting of wild animals
1197		Illegal entry into a wildlife protected area
1198		Illegal entry into a wildlife protected area
1199		illegal entry a wildife protected area
1200	MFCA	Illegal fishing
1201		illegal entry into a wildlife protected area
1202		illegal entry into a wildlife protected area
1203		illegal entry into a wildlife protected area
1204		illegal entry into a wildlife protected area
1205		possession of wildlife specimen
1206		Illegal entry into a wildlife protected area
1207		Illegal entry into a wildlife protected area
1208		Illegal entry into a wildlife protected area
1209		Illegal entry into a wildlife protected area
1210		Illegal entry into a wildlife protected area
1211		Illegal entry into a wildlife protected area
1212		UN LAWFUL POSSESSION OF DEVICES
1213		Possession of dvices
1214		Possession of devices
1215		Possession of devices
1216		Possession of devices
1217		Un lawful entry into a wildlife protected area
1218		
1219		Un lawful entry into a wildlife protected area
1220		Possession of wildlife protected specimen
1221		Negligently permitting domestic animals into a wildlife protecte
1222		Negligently permitting domestic a nimals into a wildlife protect
1223		Un lawful entry into a wildlife protected area
1224		Killing of wild animals
1225		Illegal entry ointo a wildlife proteced area
1226		Illegal entry into a wildlife protected area
1227		Illegal entry into a wildlife protected area
1228		Illegal entry into a wildlife protected area
1229		Illegal entry into a wildlife protected area
1230		Possession devices
1231		Illegal entry into a wildlife protected area
1232		Negligently permitting domestic animals into a wildlife protecte
1233		Illegal entry into a wildlife protected area
1234		Illegal entry into a wildlife protected area
1235		Illlegal entry into a wildlife protected area
1236		Illegal entry into a wildlife protected area
1237		Illegal entry into a wildlife protected area
1238		Illegal entry into a wildlife protected area
1239		illegal entry into a wildlife protected area
1240		Illegal entry into a wildlife protected area
1241		Illegal entry into a wildlife protected area
1242		POSSESSION OF WILDLIFE PROTECTED SPECIMEN
1243		possession of wildlife protected specimen
1244		Illegal entry into a wildlife protected area
1245		illegal entry into a wildlife protected area
1246		Un lawful entry into a wildlife protected area
1247		Illegal entry into a wildlife protected area
1248		Illegal entry into a wildlife protected area
1249		Illegal entry into a wildlife protected area
1250		Illegal entry into a wildlife protected area
1251		Illegal entry into a wildlife protected area
1252		Illegal entry into a wildlife protected area
1253		Illlegal entry into a wildlife protected area
1254		Illegal entry into a wildlife protected area
1255		Illegal entry into a wildlife protected area
1256		Illegal entry into a wildlife protected area
1257		Illegal entry into a wildlife protected area
1258		Un lawful entry into a wildlife protected Area
1259		Un Lawful entry into a wildlife protected area
1260		possession of devices
1261		Un law ful entry into a wildlife protected Area
1262		Un lawful entry into a wildlife protected area
1263		Un lawful entry into a wildlife protected entry
1264		Un law ful entry into a wildllife proteceted area
1265		Un lawful entry into a wildlife protected area
1266		Un law ful entry into a wildlife protected area
1267		Un lawful entry into a wildlife protected Area
1268		Un lawful entry into a wildlife protected Aera
1269		Un lawful entry into a wildlife protected
1270		Un lawful entry into a wildlife protected area
1271		illegal entry into a wildlife protected area
1272		Illegal entry into a wildlife protected area
1273		illegal entry into a wildlife protected Area
1274		illegal entry into a wildlife protected Arae
1275		illegal entry into a wildlife protected area
1276		illegal entry into a wildlife protected area
1277		illegal entry into a wildlife protected Arae
1278		illegal entry into a wildlife protected area
1279		Un lawful entry into a wildlife protected area
1280		Un lawful entry into a wildlife protected area
1281		Un lawful entry into a wildlife protected area
1282		Un lawful entry into a wildlife protected area
1283		Un lawful entry into a wildlife protected area
1284		Un lawfull entry into a wildlife protected area
1285		Un lawful entry into a wildlife protected area
1286		Un lawful entry into a wildlife protected area
1287		Un l;awful entry into a wildlife protected area
1288		Un lawful entry into a wildlife protected area
1289		Un law ful entry into a wildlife protected area
1290		Un lawful possession of devices capable of killing and disturbin
1291		Un lawfull entry into a wildlife protected area
1292		Un lawfull entry into a wildlife protected area
1293		Un lawful entry into a wildlife protected area
1294		Negligently permitting domestic animals into a wildlife protecte
1295		un lawful entry into a wildlife protected carea
1296		Un lawful entry into a wildlife protected area
1297		Un lawful entry into a wildlife protected area
1298		Un lawful entry into a wildlife protected area
1299		Un lawful entry into a wildlife protected area
1300		Un lawful entry into a wildlife protected area
1301		Un lawful entry into a wildlife protected area
1302		Possession of wildlife protected specimen
1303		Possession of wildife protected specimen
1304		Possession of wildlife protected specimen
1305		Possession of wildlife protected specimen
1306		Illegal entry into a wildlife protected area
1307		Illegal entry into a wildlife protected area
1308		Negligently permitting domestic animals into a wildlife protecte
1309		Illegal entry into a wildlife into a wildlife protected
1310		Illegal entry into a wildlife protected area
1311		Negligently permitting domestic animals into a wildlife protecte
1312		Illegal entry into a wildlife protected area
1313		Negligently permitting domestic animals into a wildlife protecte
1314		Negligently permitting domestic animals into a wildlife protecte
1315		Illegal entry into a wildlife protected area
1316		Illegal entry into a widlife protected area
1317		Illegal entry into a wildlife protected area
1318		Illegal entry into a wildlife protected area
1319		Illegal entry into a wildlife protected area
1320		Illegal ntry into a wildlife protectyed area
1321		Illegal entry into a wildlife protected area
1322		Illegal entry into a wildlife protected area
1323		ILLEGAL ENTRY INTO A WILDLIFE PROTECTED AREA
1324		Illegal entry into Awildlife protected Area
1325		Illegal entry into a wildlife protected Area
1326		Illegal entry into a wildlife protected Area
1327		Possession of specimen
1328		Possession of wildlife specimen
1329		Illegal entry into a wildlife protected area
1330		Illegal entry into a wildlife protected Area
1331		Illegal entry into A wildlife protected Area
1332		Illegal entry into a wildlife protected area
1333		Negligently Permitting Domestic animals into A wildlife Protecte
1334		Negligently permitting domestic animals into A wildlife protecte
1335		Negligently permitting domestic animals into A Wildlife Protecte
1336		Illegal entry into a wildlife protected Area
1337		Possession of devices capable of killing and disturbing wildslif
1338		Illegal entry into a wildlife protected area
1339		Illegal entry into A wildlife protected area
1340		Illegal entry into Awildlife protected Area
1341		Illegal entry into Awildlife Protected Arae
1342		Illegal entry into a wildlife protected Area
1343		Illegal entry into Awildlife Protected Area
1344		Illegal entry into aAwildlife Protected Area
1345		Illegal entry into A wildlife Protected Area
1346		Illegal entry into A wildlife Protected Area
1347		Illegal entry into Awildlife Protected Area
1348		Illegal entry into A wildlife Protected Arae
1349		Illegal entry into A Wildlife protected Area
1350		CONSPIRANCY
1351		Illegal entry into a wildlife protected area
1352		Illegal entry into a wildlife protected area
1353		Illegal entry into A WILDLIFE PROTCETED ARAE
1354		Negligently permitting Domestic animals into A wildlife protecet
1355		Illegal entry into A wildlife protected area
1356		Illegal entry into A wildlife protected area
1357		Illegal entry into A wildlife protected area
1358		Illegal entry into A wildlife protected area
1359		Illegal entry into A wildlife protected area
1360		Illegal entry into A wildlife protected Area
1361		Illegal entry into Awildlife protected Area
1362		Illegal entry into A wildife protected Area
1363		Illegal entry into A wildlife protected Area
1364		Illegal entry into A wildlife protected Area
1365		Illegal entry into A wildlife protected Area
1366		Illegal into A wildlife protected Area
1367		Illegal entry into A wildlife proteceted Area
1368		Illega entry into A wildlife protceted Area
1369		Illegal entry into A wildlife protected Area
1370		Negligently permitting Domestic animals into A wildlife protecte
1371		Negligently permitting domestic animals into A wildlife protecte
1372		Illegal entry into A widlife Protected
1373		Illegal entry into A wildlife protected area
1374		Illegal entry into A wildlife protected area
1375		Illegal entry into A wildlife protected area
1376		possession of wildlife specimen
1377		Illegal entry into A wildlife protected area
1378		Illegal entry into A wildlife protected area
1379		Illegal entry into A widlief protected area
1380		Negligently permitting domestic animals into A wildlife protecte
1381		Illegal entry into A wildlife protected area
1382		Illegal entry into A WIDLIFE PROTECTED AREA
1383		POSSESSION OF DEVICES
1384		Possession of illegal devices
1385		Illegal entry into A wildlife Protected Area
1386		Illegal entry into A wildlife protected area
1387		Illegal entry into A wildlife protected area
1388		Negligently permitting domestic animals into A wildlife protecte
1389		Illegal entry into A wildlife protected area
1390		Negligently permitting domestic animals into A wildlife protecte
1391		Illegal entry into A wildlife protected area
1392		Illegal entry into A wildlife protected area
1393		Illegal entry into A wildlife protected area
1394		Illegal entry into A wildlife protected area
1395		Illegal entry ninto A wildlife protected area
1396		Illegal entry into A wildlife protected area
1397		Illegal entry into A wildlife protected area
1398		Illegal entry into A wildlife protceted area
1399		Illegal entry into A wilfe protected area
1400		Illegal entry into A wildlife protected area
1401		Illegal entry into A wildlife proteceted area
1402		Illegal entry into A wildlife protected area
1403		Illegal entry into A wildlife protected
1404		Illegal entry into A wildlife protected area
1405		Illegal entry into A wildlife protected area
1406		Illegal entry into Awildlife protected area
1407		Illegal entry into A wildlife protected area
1408		Illegal entry into A wildlife protected area
1409		Illegal entry into A wildlief protected area
1410		Illegal entry into Wildlife Protected area
1411		Illegal entry into WILDLIFE PROTECTED AREA
1412		Illegal entry into wildlife protected area
1413		Illegal entry into a wildlife protceted area
1414		Illegal entry int a wildlife protected area
1415		Illegal entry into a wildlife protected area
1416		Illegal entry into a wildlife protected area
1417		Illegal entry into a wildlife protected area
1418		Illegal entry into a wildlife protected area
1419		Illegal entry into a wildlife protected area
1420	KCA-KNP	Illegal harvesting
1421	KCA-KNP	Illegal possesion
1422	KCA-KNP	Illegal grazing
1423	KCA-KNP	Illegal grazing
1424	KCA	Illegal entry
1425	KCA	Illegal possesion
1426	KCA-KNP	Illegal grazing
1427	KCA-KNP	Illegal entry
1428	KCA	Illegal grazing
1429	KCA	Hunting for meat
1430	KCA	Illegal possesion
1431	MFCA-MFNP	Illegal entry
1432	MFCA-MFNP	Illegal fishing
1433	QECA-QENP	Illegal entry
1434	QECA-QENP	Hunting for meat
1435	QECA-QENP	Illegal harvesting
1436	QECA-QENP	Illegal harvesting
1437	QECA-QENP	Illegal harvesting
1438	QECA-QENP	Illegal fishing
1439	QECA-QENP	Illegal grazing
1440	QECA-QENP	Illegal grazing
1441	QECA-QENP	Hunting for meat
1442	QECA-QENP	Illegal fishing
1443	QECA-QENP	Illegal fishing
1444	QECA-QENP	Illegal fishing
1445	QECA-QENP	Illegal entry
1446	QECA-QENP	Illegal fishing
1447	QECA-QENP	Illegal fishing
1448	QECA-QENP	Illegal fishing
1449	QECA-QENP	Illegal fishing
1450	QECA-QENP	Illegal fishing
1451	QECA-QENP	Illegal fishing
1452	QECA-QENP	Illegal harvesting
1453	QECA-QENP	Illegal harvesting
1454	QECA-QENP	Illegal harvesting
1455	QECA-QENP	Illegal harvesting
1456	QECA-QENP	Illegal harvesting
1457	QECA-QENP	Illegal harvesting
1458	QECA-QENP	Illegal harvesting
1459	QECA-QENP	Illegal harvesting
1460	QECA-QENP	Illegal possesion
1461	QECA-QENP	Illegal possesion
1462	QECA-QENP	Illegal possesion
1463	QECA-QENP	Illegal entry
1464	QECA-QENP	Hunting for meat
1465	QECA-QENP	Hunting for meat
1466	QECA-QENP	Illegal fishing
1467	QECA-QENP	Illegal fishing
1468	QECA-QENP	Illegal fishing
1469	QECA-QENP	Illegal possesion
1470	QECA-QENP	Illegal possesion
1471	QECA-QENP	Illegal possesion
1472	QECA-QENP	Illegal fishing
1473	QECA-QENP	Hunting for meat
1474	QECA-QENP	Hunting for meat
1475	QECA-QENP	Illegal possesion
1476	QECA-QENP	Illegal possesion
1477	QECA-QENP	Illegal grazing
1478	QECA-QENP	Illegal fishing
1479	QECA-QENP	Illegal fishing
1480	QECA-QENP	Illegal fishing
1481	QECA-QENP	Illegal grazing
1482	QECA-QENP	Hunting for meat
1483	QECA-QENP	Illegal harvesting
1484	QECA-QENP	Illegal harvesting
1485	QECA-QENP	Illegal harvesting
1486	QECA-QENP	Hunting for meat
1487	QECA-QENP	Illegal harvesting
1488	QECA-QENP	Illegal harvesting
1489	QECA-QENP	Illegal harvesting
1490	QECA-QENP	Illegal harvesting
1491	QECA-QENP	Illegal possesion
1492	QECA-QENP	Hunting for meat
1493	QECA-QENP	Hunting for meat
1494	QECA-QENP	Hunting for meat
1495	QECA-QENP	Hunting for meat
1496	QECA-QENP	Hunting for meat
1497	BMCA-BINP	Hunting for meat
1498	KCA-KNP	Illegal entry
1499	MFCA-MFNP	Hunting for meat
1500	MFCA-MFNP	Illegal fishing
1501	MFCA-MFNP	Illegal grazing
1502	MFCA-MFNP	Illegal fishing
1503	MFCA-MFNP	Illegal fishing
1504	QECA-QENP	Illegal grazing
1505	QECA-QENP	Illegal possesion
