rec	Station	Crime type
244		Illegal entry
245		Illegal entry
246		Illegal entry
247		Illegal entry
248		Possession of wildlife specimen
249		Possession of wildlife specimen
250		Possession of wildlife specimen
251		Illegal entry
252		Illegal entry
253		illegal entry
254		illegal entry
255		Possession of illegal devices
256		illegal entry
257		Illegal entry
258		Possession of illegal devices
259		illegal entry
260		illega entry
261		illegal entry
262		Ilegal entry
263		illegal entry
264		Illegal entry
265		Illegal entry
266		Illegal entry
267		Illegal entry
268		Illegal entry
269		ilolegal entry
270		Illegal entry
271		Illegal entry
272		Illegal entry
273		illegal entry
274		illegal entry
275		illegal entry
276		illegal entry
277		Illegal entry into aprotected Area
278		Illegal entry into the protected area
279		Negligently permitting domestic into awild life protected area
280		Negigently permitting domestic animals into awildlife protected 
281		illegal entry
282		Burning the park
283		Negligently permitting domestic animals into awildlife protected
284		Illegal entry
285		Illegal entry
286		illegal entry
287		illegal entry
288		illegal entry
289		Illegal entry
290		Illegal entry
291		Illegal entry
292		possession of agun UG 8816-2000 WITH 116 ROUNDS
293		possession of gun UG 8816-200 With 116
294		possession of agun UG 8816-200,WITH 116 ROUNDS
295		possession of illegal devices
296		Illegal entry
297		illegal entry
298		illegal entry
299		Illegal entry
300		Possession of wildlife specimen
301		Possession wildlife specimen
302		possession of wildlife specimen
303		possession of wildlife specimen
304		Possession of specimen
305		possession of wildlife specimen
306		illegal entry
307		Illegal entry
308		illegal entry
309		illegal entry
310		illegal entry
311		Illegal entry
312		ilegal entry
313		illegal entry
314		Possession of illegal devices
315		Illegal entry
316		Illegal entry
317		illegal entry
318		Illegal entry
319		illegal entry
320		illegal entry
321		Illegal entry
322		Illegal entry
323		Illegal entry
324		Illegal entry
325		illegaL entry
326		illegal entry .
327		Illegal entry
328		Illegal entry
329		illegal entry
330		Illlegal devices
331		illegal entry
332		Illegal entry
333		illegal entry
334		illegal entry
335		illegal entry
336		ilegal entry
337		illegal entry
338		Illegal entry
339		Ilegel entry
340		Possession of wildlife specimen
341		
342		
343		possession of wild life specimen
344		Possession of wildlife specimen
345		possession wildlife specimen
346		illegal entry
347		illegal entry
